Player ID,Player Name,Team Name,Statistic Name,Correlation Coefficient
4900,Aaron Wiggins,Oklahoma City Thunder,FG Percent Ratio,1.0767441860465117
4900,Aaron Wiggins,Oklahoma City Thunder,FG Percent from 2P Range Diff,0.06599999999999995
4900,Aaron Wiggins,Oklahoma City Thunder,FG Percent from 2P Range Ratio,1.1301775147928994
4900,Aaron Wiggins,Oklahoma City Thunder,FG Percent from 3P Range Diff,-0.019000000000000017
4900,Aaron Wiggins,Oklahoma City Thunder,FG Percent from 3P Range Ratio,0.9411764705882353
4688,Admiral Schofield,Orlando Magic,FG Percent Diff,-0.015000000000000013
4688,Admiral Schofield,Orlando Magic,FG Percent Ratio,0.9654377880184332
4688,Admiral Schofield,Orlando Magic,FG Percent from 2P Range Diff,0.05300000000000005
4688,Admiral Schofield,Orlando Magic,FG Percent from 2P Range Ratio,1.1045364891518739
4688,Admiral Schofield,Orlando Magic,FG Percent from 3P Range Diff,-0.0020000000000000018
4688,Admiral Schofield,Orlando Magic,FG Percent from 3P Range Ratio,0.9939577039274925
4899,Aaron Henry,Philadelphia 76ers,FG Percent Diff,-0.266
4899,Aaron Henry,Philadelphia 76ers,FG Percent Ratio,0.4291845493562232
4899,Aaron Henry,Philadelphia 76ers,FG Percent from 2P Range Diff,-0.277
4899,Aaron Henry,Philadelphia 76ers,FG Percent from 2P Range Ratio,0.47438330170777987
4899,Aaron Henry,Philadelphia 76ers,FG Percent from 3P Range Diff,-0.364
4899,Aaron Henry,Philadelphia 76ers,FG Percent from 3P Range Ratio,0
4582,Aaron Holiday,Phoenix Suns,FG Percent Diff,-0.07400000000000001
4582,Aaron Holiday,Phoenix Suns,FG Percent Ratio,0.8474226804123711
4582,Aaron Holiday,Phoenix Suns,FG Percent from 2P Range Diff,-0.15300000000000002
4582,Aaron Holiday,Phoenix Suns,FG Percent from 2P Range Ratio,0.7223230490018149
4582,Aaron Holiday,Phoenix Suns,FG Percent from 3P Range Diff,0.08000000000000002
4582,Aaron Holiday,Phoenix Suns,FG Percent from 3P Range Ratio,1.2197802197802199
4586,Anfernee Simons,Portland Trail Blazers,FG Percent Diff,0.0010000000000000009
4586,Anfernee Simons,Portland Trail Blazers,FG Percent Ratio,1.002262443438914
4586,Anfernee Simons,Portland Trail Blazers,FG Percent from 2P Range Diff,-0.02300000000000002
4586,Anfernee Simons,Portland Trail Blazers,FG Percent from 2P Range Ratio,0.9551656920077972
4586,Anfernee Simons,Portland Trail Blazers,FG Percent from 3P Range Diff,0.05900000000000005
4586,Anfernee Simons,Portland Trail Blazers,FG Percent from 3P Range Ratio,1.170520231213873
4901,Ade Murkey,Sacramento Kings,FG Percent Diff,-0.46
4901,Ade Murkey,Sacramento Kings,FG Percent Ratio,0
4901,Ade Murkey,Sacramento Kings,FG Percent from 2P Range Diff,-0.53
4901,Ade Murkey,Sacramento Kings,FG Percent from 2P Range Ratio,0
4901,Ade Murkey,Sacramento Kings,FG Percent from 3P Range Diff,-0.344
4901,Ade Murkey,Sacramento Kings,FG Percent from 3P Range Ratio,0
4810,Anthony Lamb,San Antonio Spurs,FG Percent Diff,-0.467
4810,Anthony Lamb,San Antonio Spurs,FG Percent Ratio,0
4810,Anthony Lamb,San Antonio Spurs,FG Percent from 2P Range Diff,-0.527
4810,Anthony Lamb,San Antonio Spurs,FG Percent from 2P Range Ratio,0
4810,Anthony Lamb,San Antonio Spurs,FG Percent from 3P Range Diff,-0.352
4810,Anthony Lamb,San Antonio Spurs,FG Percent from 3P Range Ratio,0
4811,Armoni Brooks,Toronto Raptors,FG Percent Diff,-0.15600000000000003
4811,Armoni Brooks,Toronto Raptors,FG Percent Ratio,0.649438202247191
4811,Armoni Brooks,Toronto Raptors,FG Percent from 2P Range Diff,-0.0030000000000000027
4811,Armoni Brooks,Toronto Raptors,FG Percent from 2P Range Ratio,0.9940357852882704
4811,Armoni Brooks,Toronto Raptors,FG Percent from 3P Range Diff,-0.07099999999999995
4811,Armoni Brooks,Toronto Raptors,FG Percent from 3P Range Ratio,0.7965616045845273
4224,Bojan Bogdanović,Utah Jazz,FG Percent Diff,-0.01599999999999996
4224,Bojan Bogdanović,Utah Jazz,FG Percent Ratio,0.9660297239915075
4224,Bojan Bogdanović,Utah Jazz,FG Percent from 2P Range Diff,-0.04399999999999993
4224,Bojan Bogdanović,Utah Jazz,FG Percent from 2P Range Ratio,0.9225352112676057
4224,Bojan Bogdanović,Utah Jazz,FG Percent from 3P Range Diff,0.027000000000000024
4224,Bojan Bogdanović,Utah Jazz,FG Percent from 3P Range Ratio,1.0750000000000002
4582,Aaron Holiday,Washington Wizards,FG Percent Diff,-0.004999999999999949
4582,Aaron Holiday,Washington Wizards,FG Percent Ratio,0.9894067796610171
4582,Aaron Holiday,Washington Wizards,FG Percent from 2P Range Diff,-0.019000000000000017
4582,Aaron Holiday,Washington Wizards,FG Percent from 2P Range Ratio,0.9650092081031307
4582,Aaron Holiday,Washington Wizards,FG Percent from 3P Range Diff,0.0010000000000000009
4582,Aaron Holiday,Washington Wizards,FG Percent from 3P Range Ratio,1.0029239766081872
